"","Hash","Start","End","Latitude","Longitude","location_counter"
"25946","5c0049d38b","5/1/17 0:00","",48.4259967700339,-123.32909896007,3
"25947","ab63ece3c1","5/1/17 0:00","",48.4648590265672,-123.330941395965,1
"25948","8ae9c75d20","5/1/17 0:00","",49.2724512633001,-123.159708517597,16
"25950","282ec1000d","5/1/17 0:00","",48.4261077256259,-123.345067243467,6
"25951","7bb7908410","5/1/17 0:00","",49.1972980674866,-123.109433280608,0
"25952","119992d5bb","5/1/17 0:00","",49.2390700154337,-123.197502002732,0
"25953","96f781f6aa","5/1/17 0:00","",49.283376927835,-123.141795239174,47
"25954","9a06f0f597","5/1/17 0:00","",49.2466333231179,-123.086790337017,9
"25955","134c1f58bd","5/1/17 0:00","",49.2797633458669,-122.95758765092,0
"25956","03b08d9140","5/1/17 0:00","",49.1199664414443,-122.848124547965,0
"25957","2657dae88a","5/1/17 0:00","6/1/17 0:00",49.195615160475,-122.849004678689,9
"25958","5b2bd67477","5/1/17 0:00","",45.2684205535871,-75.7273013327931,0
"25959","6de9a4f091","5/1/17 0:00","",49.2585867855863,-123.10103286292,26
"25960","c21a5205dc","5/1/17 0:00","",49.2768113183263,-123.124506372024,41
"25961","c038cd4504","5/1/17 0:00","",49.2765215408858,-123.037793483466,3
"25962","3479c1a5d6","5/1/17 0:00","",49.2810584100599,-123.081456860629,16
"25963","b29a626528","5/1/17 0:00","6/1/17 0:00",49.2464914464237,-123.172354742759,2
"25965","724bc35407","5/1/17 0:00","",49.2085010567024,-122.951007722962,6
